timestamp,speed,odometer,soc,elevation,shift_state
2022-07-12 16:41:00.966,37,47676.2,73,4,D
2022-07-12 16:41:05.967,35,47676.3,73,4,D
2022-07-12 16:41:37.217,32,47676.6,73,4,D
2022-07-12 16:41:45.967,28,47676.6,73,5,D
2022-07-12 16:42:01.967,24,47676.7,73,4,D
2022-07-12 16:42:14.216,7,47676.8,73,4,D
2022-07-12 16:42:16.216,4,47676.8,72,4,D
2022-07-12 16:42:18.966,1,47676.8,72,4,D
2022-07-12 16:42:19.967,0,47676.8,72,4,D
2022-07-12 16:46:35.984,0,47677.2,72,6,D
2022-07-12 16:46:47.233,0,47677.2,72,6,D
2022-07-12 16:48:08.984,1,47677.3,72,8,D
2022-07-12 16:48:10.233,0,47677.3,72,8,D
2022-07-12 16:48:18.984,0,47677.3,72,8,D
2022-07-12 16:48:23.483,0,47677.3,72,8,D
2022-07-12 16:48:25.983,2,47677.3,72,8,D
2022-07-12 16:48:26.984,3,47677.3,72,8,D
2022-07-12 16:48:30.234,3,47677.3,72,8,D
2022-07-12 16:48:34.984,5,47677.3,72,8,D
2022-07-12 16:48:37.984,2,47677.3,72,8,D
2022-07-12 16:48:39.983,2,47677.3,72,8,D
2022-07-12 16:48:43.264,1,47677.3,72,8,D
2022-07-12 16:48:45.264,0,47677.3,72,8,D
2022-07-12 16:48:49.768,0,47677.3,72,8,D
2022-07-12 16:49:02.264,4,47677.3,72,8,D
2022-07-12 16:49:07.264,6,47677.4,72,9,D
2022-07-12 16:49:18.264,4,47677.4,72,10,D
2022-07-12 16:51:10.764,1,47677.6,72,13,D
2022-07-12 16:53:10.014,21,47678.1,71,21,D
2022-07-12 16:53:33.265,1,47678.2,71,20,D
2022-07-12 17:56:43.947,1,47678.3,71,21,D
2022-07-12 17:56:45.198,0,47678.3,71,20,D
2022-07-12 17:57:14.947,24,47678.4,71,17,D
2022-07-12 17:57:41.947,28,47678.6,71,16,D
2022-07-12 17:57:45.197,28,47678.6,71,15,D
2022-07-12 17:57:46.197,27,47678.7,71,15,D
2022-07-12 17:57:49.948,27,47678.7,71,15,D
2022-07-12 17:57:53.948,27,47678.7,71,14,D
2022-07-12 17:58:01.197,30,47678.8,71,13,D
2022-07-12 17:58:04.197,31,47678.8,71,13,D
2022-07-12 17:58:41.947,28,47679,71,12,D
2022-07-12 17:58:48.198,30,47679,71,14,D
